vacancy_id;user_id
5;175
5;268
5;292
15;117
15;152
15;233
25;93
100;315
25;315
155;455
155;175
10;35
10;93
5;315
10;303
25;152
145;35
145;467
145;362
145;373
190;35
145;478
195;35
190;478
195;152
195;49
215;362
210;595
210;607
245;665
270;665
305;653
310;723
280;747
240;747
230;793
310;805
245;863
240;887
305;77
310;922
280;933
310;945
240;992
310;1027
280;1073
240;1085
310;112
300;1108
280;1167
310;1178
310;1237
240;1272
310;1283
310;875
310;1307
310;1342
240;1342
240;653
315;133
300;1318
240;1353
280;1038
280;1435
280;1458
305;126
270;1517
240;126
280;154
250;154
310;1493
310;14
240;1563
280;168
305;1657
290;1598
290;1715
255;1808
290;182
245;1913
305;1633
315;1785
280;1878
290;1937
250;196
280;1692
280;1762
245;2135
275;21
250;2158
290;2112
290;21
285;2135
290;2135
290;2182
245;2193
230;2193
240;2228
305;2147
305;1902
305;1587
250;175
290;1925
255;2065
240;2065
235;35
300;1902
240;2298
240;2275
225;2287
240;2345
285;2392
240;1552
310;2205
310;1528
300;1727
260;2403
240;2403
305;161
280;2497
305;2462
230;2508
305;252
310;2427
230;2567
305;1552
275;2602
305;2088
260;2578
255;7
280;7
240;1377
310;217
310;2812
305;513
280;28
290;2917
310;294
250;301
250;3022
250;3045
265;3068
230;3127
290;3115
240;3103
230;3103
275;3115
280;315
290;3173
255;3208
290;2555
280;14
250;3313
280;3313
310;3267
270;3395
240;3395
305;3453
280;3465
280;3185
290;3255
240;3547
225;3523
290;3477
260;3488
280;3593
255;3488
265;3605
225;3488
265;3617
285;3442
240;364
240;3652
280;2893
305;3652
300;3792
310;3057
265;3827
240;3862
275;203
265;385
290;371
280;3873
240;3418
240;3897
310;35
240;3932
300;3815
290;3978
305;3908
310;3675
310;3943
225;35
245;7
280;4013
260;4025
290;203
240;3325
285;4072
300;105
310;406
300;413
280;4095
310;4118
290;4153
280;4177
290;42
240;4212
265;392
310;2683
250;4247
270;4282
240;4305
290;4363
260;4363
255;4375
275;4398
290;434
300;513
265;441
240;4422
315;4258
245;2357
280;1972
250;4468
245;4468
290;4235
240;448
290;2333
305;4445
240;4445
265;4538
225;4573
305;462
240;462
295;4667
290;4655
240;4678
280;469
280;4048
280;852
250;4515
310;3967
310;4725
225;4783
290;4818
290;4877
245;4877
315;476
300;4888
270;49
310;4562
315;4958
275;497
310;1738
315;4982
240;4982
245;504
245;5087
305;5098
280;5028
250;5028
250;5087
265;5168
305;5157
240;518
285;5238
315;2322
225;5262
245;532
245;5332
310;5145
240;5402
310;5448
265;5472
260;5472
245;5472
240;5472
305;539
265;546
290;5495
290;5087
240;5518
245;5122
260;4993
305;5005
250;5367
230;478
300;5518
300;3582
305;511
290;511
290;5647
280;5682
310;5215
305;5775
230;5798
250;287
280;5857
280;5868
240;5542
260;5542
240;588
315;5892
240;5973
225;5728
285;6008
305;602
240;98
290;6113
240;5787
280;5787
250;6148
280;616
285;6078
240;6195
275;2963
315;126
290;6277
265;6067
310;1785
290;63
315;6312
305;6335
265;6335
240;6335
280;6335
380;6335
375;6358
285;198
230;198
240;637
290;637
380;6195
280;6428
380;6452
290;6545
275;6568
250;6055
305;658
240;1202
310;6662
240;1645
315;6673
380;6685
370;7665
290;7863
380;7922
300;7922
365;8062
350;8062
275;8167
380;8237
255;4025
275;8272
305;3418
290;6697
240;833
305;833
365;4702
250;8342
310;1225
280;8493
315;5215
350;651
260;8703
370;868
280;8692
250;8692
245;8692
305;8727
245;8727
310;665
245;882
230;8843
310;8738
230;362
285;8913
305;8878
250;8983
285;9018
305;9042
280;9053
240;9065
265;9088
230;9007
265;9112
350;6568
350;4643
240;9228
225;9252
280;9275
370;9275
280;9287
380;9298
260;9392
240;9415
250;9462
250;9485
290;266
280;8925
285;9543
305;9578
280;9438
305;9637
305;9695
230;973
365;9742
280;9788
280;9788
280;9788
280;9788
280;9788
280;9788
280;9788
280;9788
280;9823
280;5157
240;5157
265;9835
315;2368
300;2368
280;9847
280;4853
290;9847
250;9847
350;2555
265;9952
280;9975
245;9987
285;10045
315;9543
230;93
380;10068
260;10068
225;478
225;93
370;9077
250;10138
260;10162
250;3733
365;10197
295;10103
280;10243
370;10267
305;9718
265;10325
245;10337
280;10395
305;8867
305;903
305;1517
350;10477
270;10512
370;10523
225;10547
380;3897
240;10617
230;10628
250;10652
280;931
285;10687
240;10698
365;1071
260;10722
290;10745
265;10768
240;1078
280;10803
365;10827
245;10897
365;553
365;548
260;1099
350;5647
245;11013
365;11025
310;2415
400;35
395;35
245;11083
290;3838
290;1113
295;9357
305;10757
380;11153
310;11165
290;11177
380;11188
365;11212
240;11212
285;1036
305;11258
290;1036
370;791
245;1388
380;11398
240;1388
380;11457
240;11503
350;11492
310;11515
350;11573
365;11573
300;1162
265;1162
270;1162
250;11433
225;11643
275;1169
240;11783
280;11795
280;11807
280;11818
350;11877
290;11888
290;11865
260;11982
305;12017
315;11935
290;12028
240;11853
240;12063
265;12075
240;12075
275;12087
290;1211
365;12133
230;12157
290;12145
310;10127
280;12285
280;12122
290;1232
350;1232
265;12367
240;12413
310;12425
300;1246
380;12483
230;12483
260;12507
255;12507
380;12192
240;3162
285;12553
290;12612
350;12612
365;12623
350;12623
350;12647
365;12647
275;12682
295;2987
280;12717
280;11235
240;12705
310;12017
265;12868
260;12868
255;12868
240;12985
305;12973
240;12973
380;13008
295;12962
350;12962
260;518
235;362
235;467
235;373
365;6008
350;6008
365;13102
285;1316
245;13207
365;1323
240;13335
240;12892
375;13487
365;13487
240;13498
240;13755
310;13732
365;13778
350;13778
365;13953
305;10605
300;13825
365;14222
350;12133
280;93
280;14292
280;14362
230;14408
240;14408
380;1442
305;10932
365;14513
350;2018
365;14595
380;3582
350;14595
365;2018
280;14583
350;14688
370;1477
370;2018
370;14665
365;14887
350;14828
350;14747
365;14933
370;14968
240;14642
350;14922
370;15038
275;2018
365;14922
365;15097
370;14922
380;1902
365;15213
260;14642
365;15167
290;14898
365;154
350;154
370;154
240;15132
280;14817
350;14945
290;13755
370;1519
240;1491
380;15015
365;4072
380;15353
350;15563
365;15178
365;15692
380;15458
310;3628
290;15412
365;15225
370;747
285;15143
240;15295
350;15493
280;15832
315;1237
375;15913
365;16042
365;15983
370;15983
350;15983
240;15015
350;15972
230;15015
380;15937
365;16112
365;1617
255;4468
310;16158
350;5238
365;16217
365;5238
310;1568
365;16263
350;16263
310;15027
365;1638
365;16205
365;16345
350;16275
350;16345
365;15062
365;13067
280;16065
290;1582
370;16555
365;15622
310;16578
290;16508
350;1652
365;5658
350;5658
365;1652
290;5658
370;16625
230;16532
310;16613
350;16788
365;16788
365;16835
350;16835
365;16403
350;168
300;16893
310;16788
310;4912
240;16788
305;16823
380;12763
380;16497
380;15552
305;16497
305;16998
300;16497
365;1715
310;17022
380;9718
265;16497
375;15738
305;17185
380;1736
250;17348
240;17453
375;17395
310;17418
310;1722
310;17453
285;15727
365;15727
290;15727
270;15727
365;1757
305;17512
365;17652
305;17488
350;17652
305;17675
365;17698
350;17698
285;17698
380;17768
310;17768
305;17768
310;17792
380;13592
370;17862
350;17862
365;17967
290;478
380;1806
240;1806
365;1778
380;2917
310;18165
300;14863
290;2077
315;18282
305;18282
350;18328
365;18328
350;1834
365;91
310;17383
275;18422
350;18468
285;1848
280;1862
225;18643
250;1862
365;18702
370;18783
310;15353
305;15353
240;18912
380;19017
370;1904
310;16322
380;19157
310;19133
380;19238
365;19273
365;10208
310;19355
365;16707
285;21315
290;9427
350;28222
280;24885
260;26927
290;21653
365;18853
305;20055
365;23823
370;31185
240;31185
305;13498
365;27347
310;31582
290;30473
365;29645
370;29645
365;8552
350;15423
365;30473
310;18293
285;3276
350;5297
350;16508
365;21397
350;2532
365;2532
315;33763
350;21397
365;34172
365;34242
350;8972
365;8972
240;8972
265;28712
380;18888
365;26915
365;17745
370;10547
365;35385
370;36015
365;3276
310;1596
365;36307
365;329
280;36505
265;36622
380;36727
370;15657
240;37042
310;37158
365;19068
365;37415
350;37415
370;3759
270;3759
240;37625
350;29517
295;16217
780;31185
375;33332
275;4818
380;38862
380;38908
375;84
365;39258
365;56
245;17862
370;39923
265;40052
310;39177
780;4039
365;40483
370;40553
780;40553
365;40553
285;40553
315;1057
290;1057
350;1057
350;40553
270;41393
245;39958
230;41918
245;42035
240;42035
370;4207
290;4207
280;42152
230;224
780;37182
280;37182
240;3164
350;43913
370;43995
350;44007
1545;957
1545;4193
290;44112
1545;44112
350;44147
240;44112
245;44112
310;441
290;44007
1545;8972
780;44485
305;44345
780;44602
305;44602
1545;44707
1555;44718
350;44753
290;44753
240;44753
310;4186
265;45092
350;13067
290;45208
305;45243
1545;4529
265;45337
285;4543
250;45453
350;84
315;84
240;84
290;84
245;40868
1555;2555
370;2555
280;9147
370;10955
350;56
225;45803
310;36645
350;23987
370;45873
370;45862
370;45885
225;37182
370;45932
285;40868
370;45908
350;462
240;17652
1545;46223
305;16392
305;46352
265;4641
2470;9683
315;41685
2470;42793
305;47005
300;4711
310;47273
780;35863
1545;20638
380;35863
365;35863
350;35863
2470;476
1545;476
365;476
350;476
2470;2917
350;48172
305;48172
315;2917
350;2917
240;48417
295;29505
1545;29505
365;16718
2470;406
240;49128
375;49152
1545;16718
1545;49175
2470;29703
375;31372
2645;11923
2470;49455
365;49455
240;49455
370;49665
290;48895
1545;50155
1545;19087
265;50307
365;5047
2645;50447
370;11585
290;44905
305;49467
350;44998
1545;6848
350;6848
305;51053
290;32795
305;5131
305;27848
350;56
240;898
255;50143
2655;39258
2655;52278
310;17593
275;34148
2655;55102
225;48988
310;175
240;55662
2595;1799
2650;56455
545;8528
2435;45687
1760;45687
1045;45687
425;39258
2445;93
1275;4207
485;45687
1290;4207
1520;29062
2090;39772
1610;39258
690;7455
885;29062
1920;4207
675;42245
1535;39258
1905;47145
2615;8645
2195;39772
2590;4207
2605;29062
935;7455
2320;39258
1285;47145
2060;39772
1290;13615
2560;29062
2560;4207
450;47145
2185;847
1965;39772
1370;7455
2195;25468
2400;21373
2275;4207
2435;30018
1905;39772
2400;29062
2090;3633
2460;7187
1935;21373
1395;7455
1735;11387
1435;4207
1685;39772
2270;4886
885;21373
2050;39258
1680;39772
2665;1113
425;7187
2200;13615
950;29062
675;47145
600;8528
1540;4207
2185;7023
1305;39772
2185;39258
1760;7455
1685;25468
1285;4207
595;7023
684;7187
2460;8645
2270;21093
2240;21373
2050;30018
1285;39772
600;847
1920;39258
2185;7187
1780;7455
1435;21373
2090;13615
1655;7187
1170;39772
1655;7023
1285;7327
600;4207
1685;35572
2190;7385
600;20498
950;21373
2200;47343
410;39772
1180;1113
600;39258
805;4186
2115;7455
590;7385
995;7187
1660;21093
1085;4207
985;21373
2185;30018
2385;847
1650;7385
1680;25468
1280;4207
1275;7385
600;7187
2580;7455
1600;39772
910;1113
1570;4207
690;4886
2380;847
605;8528
2370;8645
2365;21373
2200;8645
595;13615
2385;7187
675;20312
2190;8645
2050;7187
2560;21373
2185;8645
2355;21373
2200;7327
2115;28642
1520;21373
1890;29062
2055;7187
2720;7455
1285;25468
1815;4207
795;1113
1305;3633
2090;21992
2070;8645
2050;8645
2050;4207
2665;37438
1680;32783
1860;11387
2045;8645
1185;7187
1170;4207
2005;8645
1370;45687
2335;7455
2610;7187
1965;8645
2365;4186
1185;21373
985;40752
1780;28642
2585;7187
1950;8645
405;1113
1730;4186
1355;4207
2245;11923
1940;8645
2555;26705
1935;8645
2435;21373
1015;4207
1455;7455
1910;8645
2130;7023
465;8645
1290;2464
805;21373
2185;30917
1310;21373
580;8645
2615;47343
2055;4186
1615;1113
1165;7455
1000;3633
2200;23427
1125;25468
585;8645
1905;7327
1890;50913
2130;7385
600;8645
1775;11387
1045;7455
455;1113
630;8645
695;1708
1175;21373
640;8645
2605;21373
684;8645
2200;34067
450;20312
2610;21373
1600;8645
485;7455
2200;50108
2200;1113
1640;8645
2385;20498
2565;25468
1655;8645
1610;8528
1280;21373
1675;8645
2365;11923
2615;39772
2200;22248
1290;1113
2020;8645
1680;8645
1675;21373
1685;8645
2090;2464
1795;8645
2565;45687
1820;8645
595;25865
1895;8645
675;1708
1645;8528
1125;1113
